EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1207137,WILLIAMSON CO.,FRANKLIN,09/24/2024,1436,Hail,0.88, ,0,0,0,0,TN,CST-6, ,195293,C,187,OHX,0,0,Social Media, , , ,3,NE,3,NE,FRANKLIN,09/24/2024,1436,35.9507,-86.8621,35.9507,-86.8621,"Nickel size hail fell in the Cool Spring area.","Thunderstorms developed ahead of a cold front that moved eastward through Middle Tennessee on September 24, 2024. With plenty of instability and wind shear, these thunderstorms strengthened and became severe through the afternoon and evening. Damaging winds were the primary threat with numerous reports of downed trees and powerlines received. The most significant damage was reported in Ethridge where severe winds caused a tent to collapse, injuring three people. Some hail reports were received as well, but these were mostly less than one inch in diameter.",21
1207129,JACKSON CO.,GAINESBORO,09/24/2024,1510,Thunderstorm Wind,52.00, ,0,0,5000,0,TN,CST-6,EG,195293,C,87,OHX,0,0,Emergency Manager, , , ,9,W,9,W,GAINESBORO,09/24/2024,1510,36.35,-85.8117,36.35,-85.8117,"Severe thunderstorm winds downed a few trees in the Gladdice area. Damages are a rough estimate.","Thunderstorms developed ahead of a cold front that moved eastward through Middle Tennessee on September 24, 2024. With plenty of instability and wind shear, these thunderstorms strengthened and became severe through the afternoon and evening. Damaging winds were the primary threat with numerous reports of downed trees and powerlines received. The most significant damage was reported in Ethridge where severe winds caused a tent to collapse, injuring three people. Some hail reports were received as well, but these were mostly less than one inch in diameter.",22
1207141,LAWRENCE CO.,ETHRIDGE,09/24/2024,1524,Thunderstorm Wind,50.00, ,0,3,25000,0,TN,CST-6,EG,195293,C,99,OHX,0,0,Emergency Manager, , , ,1,S,1,S,ETHRIDGE,09/24/2024,1524,35.3055,-87.32,35.3055,-87.32,"Severe thunderstorm winds downed powerlines and trees and blew roofs off of a few structures in Ethridge. A tent also collapsed due to the wind, leading to 3 injuries. Damages are a rough estimate.","Thunderstorms developed ahead of a cold front that moved eastward through Middle Tennessee on September 24, 2024. With plenty of instability and wind shear, these thunderstorms strengthened and became severe through the afternoon and evening. Damaging winds were the primary threat with numerous reports of downed trees and powerlines received. The most significant damage was reported in Ethridge where severe winds caused a tent to collapse, injuring three people. Some hail reports were received as well, but these were mostly less than one inch in diameter.",23
1207130,OVERTON CO.,HARDY,09/24/2024,1550,Thunderstorm Wind,52.00, ,0,0,1000,0,TN,CST-6,EG,195293,C,133,OHX,0,0,Emergency Manager, , , ,2.07,S,2.07,S,HARDY,09/24/2024,1550,36.29,-85.43,36.29,-85.43,"Severe thunderstorm winds downed a tree north of Algood. Damages are a rough estimate.","Thunderstorms developed ahead of a cold front that moved eastward through Middle Tennessee on September 24, 2024. With plenty of instability and wind shear, these thunderstorms strengthened and became severe through the afternoon and evening. Damaging winds were the primary threat with numerous reports of downed trees and powerlines received. The most significant damage was reported in Ethridge where severe winds caused a tent to collapse, injuring three people. Some hail reports were received as well, but these were mostly less than one inch in diameter.",24
1207132,OVERTON CO.,LIVINGSTON,09/24/2024,1555,Thunderstorm Wind,52.00, ,0,0,5000,0,TN,CST-6,EG,195293,C,133,OHX,0,0,Emergency Manager, , , ,6,NNW,6,NNW,LIVINGSTON,09/24/2024,1555,36.4602,-85.3613,36.4602,-85.3613,"Severe thunderstorm winds downed trees north-northwest of Livingston. Damages are a rough estimate.","Thunderstorms developed ahead of a cold front that moved eastward through Middle Tennessee on September 24, 2024. With plenty of instability and wind shear, these thunderstorms strengthened and became severe through the afternoon and evening. Damaging winds were the primary threat with numerous reports of downed trees and powerlines received. The most significant damage was reported in Ethridge where severe winds caused a tent to collapse, injuring three people. Some hail reports were received as well, but these were mostly less than one inch in diameter.",25
1211458,HANCOCK CO.,LEAMAN,09/24/2024,1720,Tornado, ,EF1,0,0,0,0,TN,EST-5, ,195883,C,67,MRX,0,0,NWS Storm Survey, ,5.98,250,1.22,NW,1.01,SE,KYLES FORD,09/24/2024,1725,36.5432,-83.1447,36.5585,-83.0387,"The tornado first began near the intersection of Highway 33 and Jimmie Roberts Road, where branches were snapped and some metal roofing pieces were found in a field. The twister continued along the Clinch River and Alder Road, where numerous tree trunks were snapped, and a few trees were uprooted. The tornado lifted near the intersection of Chestnut Ridge Road and Highway 70.","An upper level low pressure system, coupled with an unstable atmosphere, allowed for scattered thunderstorms. Of these, one isolated supercell produced a couple instances of severe weather, including the first recorded September tornado in East Tennessee history.",26
1211457,SULLIVAN CO.,EAST KINGSPORT,09/24/2024,1842,Hail,1.00, ,0,0,0,0,TN,EST-5, ,195883,C,163,MRX,0,0,Public, , , ,0.89,NE,0.89,NE,EAST KINGSPORT,09/24/2024,1842,36.58,-82.51,36.58,-82.51,"Concurrent to a public report of one inch hail, a trained spotter reported a measured 55 mph wind gust along with small to medium broken tree branches. Both events occurred in Bloomingdale.","An upper level low pressure system, coupled with an unstable atmosphere, allowed for scattered thunderstorms. Of these, one isolated supercell produced a couple instances of severe weather, including the first recorded September tornado in East Tennessee history.",27
1211459,SULLIVAN CO.,BLOUNTVILLE,09/24/2024,1905,Thunderstorm Wind,52.00, ,0,0,0,0,TN,EST-5,EG,195883,C,163,MRX,0,0,911 Call Center, , , ,0,N,0,N,BLOUNTVILLE,09/24/2024,1905,36.53,-82.33,36.53,-82.33,"Four trees were blown down by severe thunderstorm straight line winds in Blountville.","An upper level low pressure system, coupled with an unstable atmosphere, allowed for scattered thunderstorms. Of these, one isolated supercell produced a couple instances of severe weather, including the first recorded September tornado in East Tennessee history.",28
1211460,SULLIVAN CO.,LEONARD,09/24/2024,1912,Thunderstorm Wind,52.00, ,0,0,0,0,TN,EST-5,EG,195883,C,163,MRX,0,0,911 Call Center, , , ,2.22,W,2.22,W,LEONARD,09/24/2024,1912,36.58,-82.32,36.58,-82.32,"A power pole was broken by severe thunderstorm straight line winds near Highway 11W and Seneker Lane.","An upper level low pressure system, coupled with an unstable atmosphere, allowed for scattered thunderstorms. Of these, one isolated supercell produced a couple instances of severe weather, including the first recorded September tornado in East Tennessee history.",29
1218439,BLOUNT CO.,TOWNSEND,09/25/2024,1315,Flash Flood, , ,0,0,0,0,TN,EST-5, ,195887,C,9,MRX,0,0,Public,Heavy Rain, , ,1,N,2,W,TOWNSEND,09/25/2024,1430,35.6845,-83.77,35.67,-83.7967,"Minor flooding of roads around Townsend.","Tropical Storm Helene caps off a several day heavy rainfall event in association with a stalled closed upper low that drew a stream of tropical moisture into the area on the 25th and 26th. The arrival of Helene on the 27th yielded catastrophic flash flooding and river flooding, as well as significant wind damage as wet soils and strong wind gusts led to forest damage.",30
